ANO,UF,SEXO_FEMININO,SEXO_MASCULINO,SEXO_NAO_INFORMADO,FE_12_14_ANOS,FE_15_17_ANOS,FE_18_24_ANOS,FE_25_30_ANOS,FE_31_35_ANOS,FE_36_40_ANOS,FE_41_45_ANOS,FE_46_50_ANOS,FE_51_55_ANOS,FE_56_60_ANOS,FE_61_65_ANOS,FE_66_70_ANOS,FE_71_75_ANOS,FE_76_80_ANOS,FE_81_85_ANOS,FE_86_90_ANOS,FE_91_MAIS,FE_NAO_INFORMADO,CR_AMARELA,CR_BRANCA,CR_INDIGENA,CR_NAO_INFORMADO,CR_PARDA,CR_PRETA
2012,RJ,588,2457,449,30,76,444,480,292,362,200,202,111,102,74,38,10,7,3,1,2,1060,8,657,2,1700,763,364
2012,RN,192,667,128,34,29,149,184,83,116,42,49,15,21,11,10,3,4,1,0,0,236,1,188,1,469,285,43
2012,RO,61,346,48,6,13,60,64,44,62,18,19,13,10,7,6,0,1,0,0,0,132,1,75,2,221,127,29
2012,RR,3,38,9,0,0,2,5,1,5,6,8,1,3,0,1,1,0,0,0,0,17,0,5,0,29,11,5
2012,RS,292,1271,209,23,36,212,211,158,187,117,125,60,59,30,14,11,4,0,1,0,524,0,566,6,884,243,73
2012,SC,165,695,104,9,19,129,126,92,90,78,62,25,25,12,10,2,2,1,1,2,279,1,276,3,451,183,50
2012,SE,53,256,43,3,12,86,42,34,31,12,11,6,4,2,1,2,1,0,0,0,105,1,50,0,177,99,25
2012,SP,645,2688,444,52,122,502,488,337,366,213,295,84,100,42,22,27,3,6,1,0,1117,13,888,4,1847,766,259
2012,TO,17,139,21,1,2,34,26,23,16,8,10,4,5,2,0,0,1,0,0,0,45,1,26,0,82,51,17
2012,NA,5,33,58,0,0,6,4,3,3,0,2,2,1,0,0,0,0,0,0,0,75,0,3,0,89,2,2
2012,EX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,AC,23,166,15,1,6,30,37,22,29,9,8,3,5,3,2,0,0,1,0,0,48,2,38,0,71,77,16
