ANO,MES,UF,QTDE_DENUNCIAS
2011,MAR,RN,77
2011,ABR,RN,60
2011,MAI,RN,66
2011,JUN,RN,50
2011,JUL,RN,42
2011,AGO,RN,67
2011,SET,RN,49
2011,OUT,RN,48
2011,NOV,RN,54
2011,DEZ,RN,44
2011,JAN,RO,9
2011,FEV,RO,4
2011,MAR,RO,25
2011,ABR,RO,29
2011,MAI,RO,42
2011,JUN,RO,37
2011,JUL,RO,19
2011,AGO,RO,37
2011,SET,RO,28
2011,OUT,RO,40
2011,NOV,RO,28
2011,DEZ,RO,26
2011,JAN,RR,1
2011,FEV,RR,2
2011,MAR,RR,3
2011,ABR,RR,3
2011,MAI,RR,4
2011,JUN,RR,2
2011,JUL,RR,3
2011,AGO,RR,1
2011,SET,RR,4
2011,OUT,RR,5
2011,NOV,RR,5
2011,DEZ,RR,1
2011,JAN,RS,47
2011,FEV,RS,31
2011,MAR,RS,110
2011,ABR,RS,74
2011,MAI,RS,70
2011,JUN,RS,137
2011,JUL,RS,66
2011,AGO,RS,92
2011,SET,RS,89
2011,OUT,RS,93
2011,NOV,RS,105
2011,DEZ,RS,88
2011,JAN,SC,29
2011,FEV,SC,20
2011,MAR,SC,65
2011,ABR,SC,52
2011,MAI,SC,56
2011,JUN,SC,57
2011,JUL,SC,47
2011,AGO,SC,53
2011,SET,SC,53
2011,OUT,SC,72
2011,NOV,SC,56
2011,DEZ,SC,33
2011,JAN,SE,7
2011,FEV,SE,3
2011,MAR,SE,20
2011,ABR,SE,15
2011,MAI,SE,17
2011,JUN,SE,18
2011,JUL,SE,20
2011,AGO,SE,20
2011,SET,SE,14
2011,OUT,SE,20
2011,NOV,SE,27
2011,DEZ,SE,15
2011,JAN,SP,123
2011,FEV,SP,92
2011,MAR,SP,188
2011,ABR,SP,215
2011,MAI,SP,223
2011,JUN,SP,232
2011,JUL,SP,177
2011,AGO,SP,229
2011,SET,SP,187
2011,OUT,SP,205
2011,NOV,SP,195
2011,DEZ,SP,185
2011,JAN,TO,5
2011,FEV,TO,2
2011,MAR,TO,10
2011,ABR,TO,29
2011,MAI,TO,23
2011,JUN,TO,11
2011,JUL,TO,12
2011,AGO,TO,10
2011,SET,TO,6
2011,OUT,TO,11
2011,NOV,TO,17
2011,DEZ,TO,11
2011,JAN,NA,0
2011,FEV,NA,0
2011,MAR,NA,3
2011,ABR,NA,2
2011,MAI,NA,8
2011,JUN,NA,0
2011,JUL,NA,2
2011,AGO,NA,5
2011,SET,NA,0
2011,OUT,NA,1
2011,NOV,NA,0
2011,DEZ,NA,0
2011,JAN,EX,0
2011,FEV,EX,0
2011,MAR,EX,0
2011,ABR,EX,0
2011,MAI,EX,0
2011,JUN,EX,0
2011,JUL,EX,0
2011,AGO,EX,1
2011,SET,EX,0
2011,OUT,EX,0
2011,NOV,EX,0
2011,DEZ,EX,0
2012,JAN,AC,3
2012,FEV,AC,9
2012,MAR,AC,12
2012,ABR,AC,5
2012,MAI,AC,12
2012,JUN,AC,28
2012,JUL,AC,31
2012,AGO,AC,34
2012,SET,AC,25
2012,OUT,AC,25
2012,NOV,AC,32
2012,DEZ,AC,26
2012,JAN,AL,40
2012,FEV,AL,45
2012,MAR,AL,38
2012,ABR,AL,25
2012,MAI,AL,43
2012,JUN,AL,56
2012,JUL,AL,65
2012,AGO,AL,64
2012,SET,AL,64
2012,OUT,AL,65
2012,NOV,AL,48
2012,DEZ,AL,38
2012,JAN,AM,45
2012,FEV,AM,72
2012,MAR,AM,64
2012,ABR,AM,57
2012,MAI,AM,67
2012,JUN,AM,84
2012,JUL,AM,110
2012,AGO,AM,93
2012,SET,AM,101
2012,OUT,AM,123
2012,NOV,AM,94
2012,DEZ,AM,64
2012,JAN,AP,2
2012,FEV,AP,5
2012,MAR,AP,3
2012,ABR,AP,2
2012,MAI,AP,5
2012,JUN,AP,12
2012,JUL,AP,11
2012,AGO,AP,7
2012,SET,AP,6
2012,OUT,AP,9
2012,NOV,AP,11
2012,DEZ,AP,11
2012,JAN,BA,167
2012,FEV,BA,271
2012,MAR,BA,274
2012,ABR,BA,249
2012,MAI,BA,319
2012,JUN,BA,371
2012,JUL,BA,381
2012,AGO,BA,354
2012,SET,BA,355
2012,OUT,BA,446
2012,NOV,BA,329
2012,DEZ,BA,259
2012,JAN,CE,73
2012,FEV,CE,73
2012,MAR,CE,119
2012,ABR,CE,73
2012,MAI,CE,141
2012,JUN,CE,145
2012,JUL,CE,149
2012,AGO,CE,153
2012,SET,CE,239
2012,OUT,CE,228
2012,NOV,CE,171
2012,DEZ,CE,118
2012,JAN,DF,42
2012,FEV,DF,99
2012,MAR,DF,71
2012,ABR,DF,57
2012,MAI,DF,75
2012,JUN,DF,79
2012,JUL,DF,72
2012,AGO,DF,141
2012,SET,DF,125
2012,OUT,DF,109
2012,NOV,DF,77
2012,DEZ,DF,61
2012,JAN,ES,33
2012,FEV,ES,37
2012,MAR,ES,43
2012,ABR,ES,29
2012,MAI,ES,44
2012,JUN,ES,66
2012,JUL,ES,44
2012,AGO,ES,48
2012,SET,ES,39
2012,OUT,ES,59
2012,NOV,ES,47
2012,DEZ,ES,42
2012,JAN,GO,38
2012,FEV,GO,92
2012,MAR,GO,60
2012,ABR,GO,80
2012,MAI,GO,105
2012,JUN,GO,118
2012,JUL,GO,122
2012,AGO,GO,117
2012,SET,GO,123
2012,OUT,GO,150
2012,NOV,GO,118
2012,DEZ,GO,74
2012,JAN,MA,123
2012,FEV,MA,126
2012,MAR,MA,100
2012,ABR,MA,82
2012,MAI,MA,166
2012,JUN,MA,165
2012,JUL,MA,186
2012,AGO,MA,177
2012,SET,MA,163
2012,OUT,MA,174
2012,NOV,MA,144
2012,DEZ,MA,88
2012,JAN,MG,169
2012,FEV,MG,167
2012,MAR,MG,198
2012,ABR,MG,157
2012,MAI,MG,212
2012,JUN,MG,286
2012,JUL,MG,287
2012,AGO,MG,264
2012,SET,MG,220
2012,OUT,MG,309
2012,NOV,MG,241
2012,DEZ,MG,200
2012,JAN,MS,38
2012,FEV,MS,39
2012,MAR,MS,90
2012,ABR,MS,38
2012,MAI,MS,40
2012,JUN,MS,54
2012,JUL,MS,54
2012,AGO,MS,63
2012,SET,MS,39
2012,OUT,MS,60
2012,NOV,MS,57
2012,DEZ,MS,37
2012,JAN,MT,46
2012,FEV,MT,28
2012,MAR,MT,39
2012,ABR,MT,25
2012,MAI,MT,47
2012,JUN,MT,68
2012,JUL,MT,54
2012,AGO,MT,50
2012,SET,MT,47
2012,OUT,MT,62
2012,NOV,MT,44
2012,DEZ,MT,48
2012,JAN,PA,59
2012,FEV,PA,92
2012,MAR,PA,80
2012,ABR,PA,67
2012,MAI,PA,103
2012,JUN,PA,105
2012,JUL,PA,131
2012,AGO,PA,117
2012,SET,PA,95
2012,OUT,PA,159
2012,NOV,PA,122
2012,DEZ,PA,75
2012,JAN,PB,49
2012,FEV,PB,49
2012,MAR,PB,28
2012,ABR,PB,39
2012,MAI,PB,53
2012,JUN,PB,58
2012,JUL,PB,52
2012,AGO,PB,43
2012,SET,PB,48
2012,OUT,PB,83
2012,NOV,PB,138
2012,DEZ,PB,68
2012,JAN,PE,62
2012,FEV,PE,72
2012,MAR,PE,100
2012,ABR,PE,99
2012,MAI,PE,150
2012,JUN,PE,172
2012,JUL,PE,268
2012,AGO,PE,236
2012,SET,PE,201
2012,OUT,PE,196
2012,NOV,PE,176
2012,DEZ,PE,126
2012,JAN,PI,33
2012,FEV,PI,37
2012,MAR,PI,45
2012,ABR,PI,27
2012,MAI,PI,52
2012,JUN,PI,69
2012,JUL,PI,68
2012,AGO,PI,56
