ANO,UF,SEXO_FEMININO,SEXO_MASCULINO,SEXO_NAO_INFORMADO,FE_0_3_ANOS,FE_12_14_ANOS,FE_15_17_ANOS,FE_4_7_ANOS,FE_8_11_ANOS,FE_NAO_INFORMADO,FE_NASCITURO,FE_RECEM_NASCIDO,CR_AMARELA,CR_BRANCA,CR_INDIGENA,CR_NAO_INFORMADO,CR_PARDA,CR_PRETA
2013,PE,1157,287,187,84,495,324,238,288,201,0,1,4,400,2,611,516,98
2013,PI,427,94,66,28,150,143,72,135,57,1,1,5,113,0,221,216,32
2013,PR,1209,353,182,98,570,368,234,314,158,0,2,4,595,6,644,441,54
2013,RJ,2666,703,364,317,886,820,502,862,337,0,9,6,940,5,1331,1149,302
2013,RN,571,135,93,56,245,174,103,123,97,1,0,1,195,0,332,239,32
2013,RO,354,73,53,28,161,82,50,101,58,0,0,0,79,1,192,177,31
2013,RR,32,2,4,4,14,6,5,8,1,0,0,0,3,1,9,22,3
2013,RS,1270,359,227,103,552,327,247,405,220,1,1,3,772,11,662,329,79
2013,SC,1076,239,130,88,434,340,187,253,138,0,5,3,560,2,525,313,42
2013,SE,278,76,26,20,128,95,58,50,29,0,0,3,70,0,150,134,23
2013,SP,2923,900,500,332,1168,817,775,763,456,1,11,11,1321,3,1602,1183,203
2013,TO,124,26,20,7,71,25,14,30,23,0,0,2,31,1,66,60,10
2013,NA,37,17,56,17,4,12,4,8,65,0,0,0,6,0,99,4,1
2013,EX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,AC,101,17,18,2,52,27,17,22,15,0,1,0,26,0,42,61,7
2014,AL,273,60,53,22,131,82,35,76,40,0,0,1,86,0,148,135,16
2014,AM,537,150,119,31,206,195,111,151,111,0,1,4,139,1,325,303,34
2014,AP,48,8,5,2,16,9,8,21,5,0,0,1,14,0,27,19,0
2014,BA,1532,440,269,120,668,460,254,475,260,0,4,5,421,4,860,777,174
2014,CE,670,202,95,90,278,213,138,174,73,0,1,7,276,0,327,317,40
2014,DF,397,131,61,41,173,126,80,112,56,0,1,4,164,0,200,191,30
2014,ES,288,96,57,28,124,87,82,76,44,0,0,0,107,0,153,155,26
2014,GO,850,166,152,73,339,182,153,307,111,0,3,3,283,1,442,353,86
2014,MA,774,122,108,53,381,242,85,165,77,0,1,6,224,2,383,341,48
2014,MG,1325,499,235,132,586,431,293,400,214,0,3,3,484,1,808,637,126
2014,MS,344,71,53,29,128,73,63,125,49,0,1,1,136,5,157,156,13
2014,MT,375,65,46,22,84,61,58,219,42,0,0,2,79,0,165,227,13
2014,PA,709,134,98,27,349,188,88,182,102,0,5,4,223,2,366,314,32
2014,PB,543,106,73,21,271,201,82,95,52,0,0,0,170,2,266,252,32
2014,PE,780,206,133,68,371,198,149,197,136,0,0,4,253,1,445,371,45
2014,PI,290,47,46,11,120,91,46,74,41,0,0,0,87,0,140,132,24
2014,PR,944,283,162,104,424,256,172,262,170,0,1,0,517,4,520,316,32
2014,RJ,1468,438,301,169,563,419,338,445,267,0,6,5,532,2,852,623,193
2014,RN,498,145,70,42,187,160,75,173,75,0,1,3,198,0,249,236,27
2014,RO,151,37,37,16,65,38,33,40,33,0,0,1,52,1,80,82,9
2014,RR,34,3,3,3,13,3,5,14,2,0,0,0,4,4,18,14,0
2014,RS,1021,291,188,112,440,258,233,314,142,0,1,6,611,5,522,274,82
2014,SC,899,216,125,64,352,322,148,244,108,0,2,1,527,4,379,294,35
2014,SE,161,37,30,15,74,49,29,43,18,0,0,1,49,0,81,75,22
2014,SP,2506,830,569,373,938,747,618,712,506,2,9,9,1220,7,1534,934,201
2014,TO,90,12,10,6,31,26,7,32,10,0,0,1,26,0,29,42,14
2014,NA,22,8,75,6,7,10,11,4,67,0,0,0,9,0,92,4,0
2014,EX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,AC,71,7,12,4,41,14,10,16,5,0,0,1,30,2,29,25,3
2015,AL,207,37,38,15,95,60,33,43,35,0,1,1,66,0,113,87,15
2015,AM,434,129,86,28,168,103,128,155,67,0,0,1,134,3,279,204,28
2015,AP,23,2,7,1,6,8,6,6,5,0,0,1,8,0,14,9,0
2015,BA,916,243,223,61,435,269,155,296,166,0,0,2,231,3,659,375,112
2015,CE,476,158,90,33,224,161,89,150,66,0,1,5,161,1,308,222,27
2015,DF,269,61,49,26,99,66,56,78,53,0,1,2,79,1,163,111,23
2015,ES,258,56,36,31,94,56,52,75,42,0,0,0,70,1,147,111,21
2015,GO,697,115,107,55,249,142,125,240,107,0,1,6,174,2,400,274,63
2015,MA,486,97,95,35,214,141,81,126,80,0,1,2,121,4,296,222,33
2015,MG,1072,318,219,106,443,322,241,324,173,0,0,6,380,1,641,483,98
2015,MS,288,70,47,29,111,57,45,112,50,0,1,4,80,10,179,118,14
2015,MT,328,47,67,17,95,55,44,163,68,0,0,2,75,2,168,179,16
2015,PA,643,106,94,32,264,229,70,146,102,0,0,1,181,3,369,244,45
2015,PB,443,134,73,42,219,168,73,94,54,0,0,4,166,0,257,203,20
2015,PE,510,139,109,52,239,135,105,131,94,0,2,3,154,4,330,214,53
2015,PI,193,43,30,15,97,50,31,46,27,0,0,1,40,1,133,77,14
2015,PR,652,165,136,74,307,148,131,176,116,0,1,0,310,1,437,188,17
2015,RJ,1066,325,219,163,387,274,271,320,188,0,7,3,373,3,701,402,128
2015,RN,277,67,50,18,127,100,46,57,46,0,0,1,80,1,187,115,10
2015,RO,177,55,25,17,83,42,36,57,22,0,0,1,47,0,112,90,7
2015,RR,24,,4,0,10,8,0,7,3,0,0,0,5,0,12,11,0
2015,RS,696,230,150,81,278,189,193,219,115,0,1,4,423,7,403,170,69
2015,SC,640,132,113,55,263,211,112,150,94,0,0,6,343,2,325,187,22
2015,SE,159,32,25,4,88,36,25,45,18,0,0,0,44,0,92,71,9
2015,SP,1791,616,398,263,648,486,532,557,313,0,6,8,850,4,1212,603,128
2015,TO,54,18,5,4,33,15,3,14,8,0,0,2,13,0,30,28,4
2015,NA,35,1,37,15,5,7,4,11,31,0,0,0,12,0,59,2,0
2015,EX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
